,Spanish,English
524,culpa,fault
525,veras,you'll see
526,adónde,where to
527,buscando,searching
528,cuanto,how much
529,padres,fathers
530,paz,peace
531,demonios,demons
532,estará,will be
533,cual,which
534,perdón,sorry
535,asi,So
536,jugar,play
537,pensando,thinking
538,esperar,expect
539,sabemos,we know
540,recuerdo,memory
541,par,pair
542,joven,young man
543,seguir,continue
544,pueblo,village
545,tenga,have
546,caballeros,gentlemen
547,idiota,moron
548,dio,it gave
549,minuto,minute
550,bebé,baby
551,única,only
552,lejos,far
553,nuestras,ours
554,plan,plan
555,pienso,I think
556,sentido,sense
557,dormir,sleep
558,digas,you say
559,palabra,word
560,correcto,Right
561,vemos,we see
562,entiendes,You understand
563,país,country
564,seis,six
565,último,latest
566,diga,Say
567,podrías,could you
568,pequeña,small
569,cállate,shut
570,trato,deal
571,rey,king
572,sucede,happens
573,muchachos,boys
574,jamás,Never
575,cama,bed
576,srta,Ms
577,ayudar,help
578,acerca,about
579,di,gave
580,cambio,change
581,falta,lack
582,hospital,hospital
583,lleva,carries
584,presidente,President
585,mil,one thousand
586,gusto,taste
587,conoces,you know
588,diciendo,saying
589,os,you
590,ido,gone
591,general,general
592,extraño,weird
593,semanas,weeks
594,coche,car
595,peor,worse
596,mucha,a lot
597,disculpe,excuse me
598,diré,I'll say
599,anoche,last night
600,perder,lose
601,vámonos,Let's go
602,nave,ship
603,cielo,darling
604,habrá,there will be
605,orden,order
606,segura,safe
607,querida,Dear
608,niña,little girl
609,increíble,incredible
610,además,what's more
611,deben,They must
612,libro,book
613,café,coffee
614,piensas,You think
615,hacemos,we make
616,especial,special
617,queremos,we want
618,irme,Go
619,perfecto,perfect
620,buscar,Search
621,odio,hatred
622,piensa,think
623,oficina,office
624,hablas,speak
625,libre,free
626,agente,agent
627,york,York
628,llamar,to call
629,mala,bad
630,detrás,behind
631,viste,dresses
632,dile,tell him
633,grandes,large
634,recuerdas,remember
635,real,real
636,estaban,They were
637,mía,mine
638,frente,front
639,perdido,lost
640,llamo,called
641,muertos,dead
642,millones,millions
643,asesino,assassin
644,sueño,sleep
645,quisiera,I would like
646,habría,there would be
647,hará,will do
648,viaje,trip
649,probablemente,probably
650,resto,rest
651,estaré,I will be
652,maldición,damn
653,lamento,lament
654,muchacho,young guy
655,avión,airplane
656,ropa,clothing
657,fuerza,strength
658,llamado,called
659,oído,ear
660,dado,given
661,encima,over
662,negro,black
663,usar,use
664,información,information
665,uds,You
666,preguntas,questions
667,tuvo,He had
668,secreto,secret
669,vuelve,Come back
670,miren,Look
671,quieras,You want
672,haría,would do
673,acaba,just
674,otras,others
675,incluso,even
676,sientes,you feel
677,deberíamos,we should
678,haz,make
679,decirte,tell you
680,boca,mouth
681,dolor,pain
682,baño,bath
683,adentro,indoors
684,profesor,professor
685,habitación,room
686,daño,damage
687,tuyo,yours
688,seas,You are
689,noticias,news
690,demás,the rest
691,querido,Dear
692,duro,Lasted
693,poner,put
694,prueba,Test
695,mire,Look
696,tonto,fool
697,campo,countryside
698,siendo,being
699,diez,ten
700,ése,that
701,tranquilo,calm
702,asunto,affair
703,acabó,just
704,quédate,stay
705,derecho,law
706,placer,pleasure
707,recuerda,remember
708,estuve,was
709,tratando,trying
710,ejército,army
711,futuro,future
712,llevar,wear
713,compañía,company
714,venido,I come
715,listos,Ready
716,haremos,will
717,sitio,place
718,verlo,see him
719,puesto,Market Stall
720,atención,attention
721,sino,otherwise
722,cambiar,change
723,error,mistake
724,blanco,white
725,raro,rare
726,palabras,words
727,llegó,I arrive
728,sal,Salt
729,pase,happens
730,mente,mind
731,sistema,system
732,película,movie
733,anda,walk
734,ello,it
735,negocio,business
736,novia,girlfriend
737,permiso,permission
738,creí,I believed
739,suena,sounds
740,ocurre,occurs
741,oficial,official
742,espere,Wait
743,aire,air
744,mató,killed
745,regresar,to return
746,vio,he saw
747,hazlo,do it
748,trasero,rear
749,grupo,cluster
750,entendido,it is understood
751,señorita,Miss
752,música,music
753,perra,bitch
754,conoce,known
755,empezar,start
756,siente,Feel
757,acabo,finished
758,estúpido,idiot
759,diferente,different
760,traje,costume
761,modo,mode
762,encontré,I found
763,mensaje,message
764,llamada,call
765,navidad,Christmas
766,eras,ages
767,pena,grief
768,largo,length
769,entra,enters
770,piso,flat
771,foto,Photo
772,dijeron,They said
773,médico,medical
774,accidente,accident
775,fuiste,you were
776,imposible,impossible
777,podríamos,we could
778,línea,line
779,propia,own
780,barco,boat
781,ganar,gain
782,normal,normal
783,segundos,seconds
784,vive,it lives
785,mitad,half
786,quiera,want
787,tras,after
788,decirle,Tell him
789,lindo,pretty
790,funciona,works
791,programa,Program
792,vine,came
793,abre,opens
794,sean,Sean
795,pagar,to pay
796,fotos,Photos
797,centro,center
798,supone,It supposes
799,basura,trash
800,situación,situation
801,mejores,top
802,vienen,they come
803,encanta,loves
804,marido,husband
805,personal,staff
806,maestro,teacher
807,hambre,hunger
808,ataque,attack
809,culo,ass
810,dale,Go ahead
811,pie,foot
812,conseguir,get
813,trabajando,working
814,gracioso,funny
815,dejó,let
816,pudo,could
817,derecha,right
818,izquierda,left
819,próxima,next
820,pobre,poor
821,respuesta,response
822,tipos,types
823,sentir,feel
824,tenías,You had
825,pude,I could
826,darle,give him
827,voz,voice
828,amiga,friend
829,gustan,like
830,vista,view
831,salvo,except
832,loca,crazy
833,hotel,hotel
834,hicieron,they made
835,ten,Ten
836,temo,I fear
837,señal,sign
838,pelo,hair
839,llevo,wear
840,ayer,Yesterday
841,das,you give
842,nena,chick
843,servicio,service
844,tren,train
845,bonito,nice
846,mes,month
847,tendrá,will have
848,tendrás,you will have
849,edad,age
850,ellas,they
851,hermosa,beautifull
852,honor,honor
853,simplemente,simply
854,llamas,calls
855,tengas,Have
856,corre,runs
857,baja,short
858,sol,sun
859,siéntate,Sit down
860,dan,give
861,humano,human
862,divertido,funny
863,sexo,sex
864,vuelto,turned
865,peligro,danger
866,mesa,table
867,siguiente,Next
868,hablo,talked
869,disculpa,Sorry
870,decirme,Tell me
871,caja,cash register
872,negocios,business
873,misión,mission
874,silencio,silence
875,sale,comes out
876,llegado,arrived
877,estaría,It would
878,regreso,Return
879,media,half
880,estan,are
881,propio,own self
882,oro,Prayed
883,enseguida,right away
884,linda,pretty
885,prometo,I promise
886,esposo,husband
887,norte,north
888,hubo,there was
889,juro,I swear
890,muerta,dead
891,interesante,interesting
892,pensaba,thought
893,busca,search
894,terminar,end up
895,tendré,I will have
896,completamente,completely
897,cita,date
898,siete,seven
899,cumpleaños,birthday
900,abogado,attorney
901,alrededor,around
902,cerebro,brain
903,porqué,because
904,llave,wrench
905,santo,holy
906,hermoso,handsome
907,edificio,building
908,irnos,Go
909,aun,still
910,tendremos,we will have
911,vayas,go
912,doy,give
913,trae,Bring
914,salió,he left
915,ley,law
916,ahi,over there
917,verdadero,real
918,pelea,Fight
919,banco,bank
920,terrible,terrible
921,calma,Calm down
922,cena,Dinner
923,daré,I will give
924,gobierno,government
925,comprar,to buy
926,creen,They believe
927,sargento,sergeant
928,destino,destiny
929,existe,exists
930,hacía,towards
931,novio,boyfriend
932,sala,living room
933,través,through
934,regalo,gift
935,iglesia,church
936,decía,He said
937,cualquiera,any
938,excelente,Excellent
939,esperen,Wait
940,deseo,desire
941,alma,soul
942,diablo,Devil
943,deje,leave
944,cuántos,many
945,espada,sword
946,estábamos,We were
947,carne,meat
948,maravilloso,wonderful
949,vidas,lives
950,sucedió,happened
951,peligroso,dangerous
952,dirección,address
953,libertad,freedom
954,ocurrió,It occurred
955,veré,I will see
956,sueños,dreams
957,pudiera,could
958,detective,detective
959,sorpresa,surprise
960,tuya,yours
961,pies,feet
962,club,club
963,terminado,finished
964,infierno,hell
965,creía,I believed
966,luna,Moon
967,salvar,save
968,carta,letter
969,estés,be
970,cielos,Heavens
971,teniente,lieutenant
972,encuentra,find
973,veamos,let's see
974,quise,I wanted
975,escúchame,listen to me
976,necesitan,They need
977,ambos,both of them
978,decisión,decision
979,enemigo,enemy
980,hicimos,we did
981,dulce,sweet
982,pruebas,tests
983,querías,You wanted
984,abuelo,grandfather
985,totalmente,totally
986,mirando,looking at
987,vayan,go
988,carrera,race
